contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260407C00500000,2026-04-06 18:42:52+00:00,500.0,157.91,155.26,158.05,0.0,0.0,,2,3.059572663574219,True,REGULAR,USD
SPY260407C00555000,2026-04-07 17:10:17+00:00,555.0,101.47,100.35,102.94,-1.0100021,-0.98556024,124.0,101,2.0517626831054683,True,REGULAR,USD
SPY260407C00560000,2026-04-02 14:51:02+00:00,560.0,93.89,95.32,97.94,0.0,0.0,1.0,1,1.9584963012695313,True,REGULAR,USD
SPY260407C00565000,2026-03-31 16:38:23+00:00,565.0,78.99,90.38,92.91,0.0,0.0,,1,1.8735357885742188,True,REGULAR,USD
SPY260407C00585000,2026-03-30 16:18:32+00:00,585.0,53.06,70.27,72.91,0.0,0.0,17.0,1,1.5065942639160155,True,REGULAR,USD
SPY260407C00590000,2026-04-07 17:16:08+00:00,590.0,66.37,66.71,66.82,3.0300026,4.783711,11.0,3,1.4536160131835936,True,REGULAR,USD
SPY260407C00595000,2026-04-07 17:00:33+00:00,595.0,61.75,61.67,61.78,22.75,58.333332,10.0,17,1.3559602514648437,True,REGULAR,USD
SPY260407C00600000,2026-04-07 17:15:51+00:00,600.0,56.33,56.63,56.73,-1.8599968,-3.19642,10.0,40,1.2573279321289061,True,REGULAR,USD
SPY260407C00601000,2026-04-07 17:15:51+00:00,601.0,55.39,55.63,55.74,-1.0100021,-1.7907839,208.0,206,1.2402381738281247,True,REGULAR,USD
SPY260407C00602000,2026-04-07 17:20:56+00:00,602.0,53.59,54.74,54.83,6.5699997,13.972777,77.0,1,1.2402381738281247,True,REGULAR,USD
SPY260407C00604000,2026-04-07 17:19:57+00:00,604.0,52.01,52.8,52.89,17.39,50.231083,151.0,2,1.2138711181640622,True,REGULAR,USD
SPY260407C00605000,2026-04-07 17:19:57+00:00,605.0,51.07,51.68,51.78,2.1899986,4.480357,154.0,1,1.1757853710937498,True,REGULAR,USD
SPY260407C00606000,2026-04-07 17:47:35+00:00,606.0,50.58,50.8,50.91,16.720001,49.379803,57.0,2,1.1789591833496091,True,REGULAR,USD
SPY260407C00607000,2026-04-07 17:47:35+00:00,607.0,49.64,49.71,49.82,1.9899979,4.176281,77.0,4,1.1452679455566406,True,REGULAR,USD
SPY260407C00608000,2026-04-07 17:46:01+00:00,608.0,48.43,48.63,48.74,1.8199997,3.9047408,68.0,5,1.11328568359375,True,REGULAR,USD
SPY260407C00609000,2026-04-07 17:46:01+00:00,609.0,47.49,47.62,47.71,-1.5999985,-3.2593164,71.0,5,1.091801416015625,True,REGULAR,USD
SPY260407C00610000,2026-04-07 17:48:44+00:00,610.0,46.51,46.63,46.74,-1.6200027,-3.3658898,76.0,65,1.0769089123535158,True,REGULAR,USD
SPY260407C00611000,2026-04-07 17:48:44+00:00,611.0,45.57,45.71,45.82,-0.22000122,-0.48045692,73.0,5,1.0717819848632817,True,REGULAR,USD
SPY260407C00612000,2026-04-07 17:54:01+00:00,612.0,45.14,44.63,44.74,21.849998,93.81708,73.0,2,1.0402880017089848,True,REGULAR,USD
SPY260407C00613000,2026-04-07 17:54:01+00:00,613.0,44.2,43.8,43.91,7.34,19.913185,66.0,203,1.049077020263672,True,REGULAR,USD
SPY260407C00614000,2026-04-07 17:57:32+00:00,614.0,42.67,42.65,42.76,-1.0,-2.2899017,37.0,5,1.0068409033203123,True,REGULAR,USD
SPY260407C00615000,2026-04-07 17:57:32+00:00,615.0,41.73,41.79,41.9,3.0600014,7.9131145,257.0,1,1.0100147155761716,True,REGULAR,USD
SPY260407C00616000,2026-04-07 17:35:38+00:00,616.0,41.57,40.7,40.81,2.5600014,6.562423,234.0,6,0.9775392871093751,True,REGULAR,USD
SPY260407C00617000,2026-04-07 14:43:50+00:00,617.0,36.78,39.64,39.76,-1.5800018,-4.1188784,258.0,1,0.9504399487304687,True,REGULAR,USD
SPY260407C00618000,2026-04-07 15:09:30+00:00,618.0,33.39,38.63,38.74,8.74,35.45639,259.0,1,0.929688203125,True,REGULAR,USD
SPY260407C00620000,2026-04-07 17:57:23+00:00,620.0,36.58,36.65,36.74,-1.9299965,-5.0116763,56.0,140,0.8937998901367187,True,REGULAR,USD
SPY260407C00621000,2026-04-07 15:34:21+00:00,621.0,32.51,35.73,35.83,-4.670002,-12.560521,8.0,52,0.8874522973632811,True,REGULAR,USD
SPY260407C00622000,2026-04-07 14:35:22+00:00,622.0,32.47,34.73,34.84,-2.8400002,-8.043047,15.0,525,0.86914193359375,True,REGULAR,USD
SPY260407C00623000,2026-04-01 18:04:14+00:00,623.0,34.14,33.61,33.71,0.0,0.0,,8,0.8322770678710936,True,REGULAR,USD
SPY260407C00624000,2026-04-07 14:58:42+00:00,624.0,29.0,32.75,32.84,4.4400005,18.078178,7.0,27,0.8322770678710936,True,REGULAR,USD
