contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260407P00500000,2026-04-07 15:05:46+00:00,500.0,0.01,0.0,0.01,0.0,0.0,3.0,863.0,1.5625021874999998,False,REGULAR,USD
SPY260407P00505000,2026-04-06 15:26:12+00:00,505.0,0.01,0.0,0.01,0.0,0.0,16.0,1324.0,1.5000025,False,REGULAR,USD
SPY260407P00510000,2026-04-06 15:26:18+00:00,510.0,0.01,0.0,0.01,0.0,0.0,16.0,398.0,1.4375028125,False,REGULAR,USD
SPY260407P00515000,2026-04-06 14:40:11+00:00,515.0,0.01,0.0,0.01,0.0,0.0,2.0,71.0,1.3750031249999999,False,REGULAR,USD
SPY260407P00520000,2026-04-06 19:13:21+00:00,520.0,0.01,0.0,0.01,0.0,0.0,11.0,256.0,1.3125034374999998,False,REGULAR,USD
SPY260407P00525000,2026-04-07 14:17:31+00:00,525.0,0.01,0.0,0.01,0.0,0.0,1.0,1152.0,1.2812535937499998,False,REGULAR,USD
SPY260407P00530000,2026-04-07 14:06:49+00:00,530.0,0.01,0.0,0.01,-0.01,-50.0,15.0,605.0,1.21875390625,False,REGULAR,USD
SPY260407P00535000,2026-04-02 19:04:06+00:00,535.0,0.02,0.0,0.01,0.0,0.0,8.0,382.0,1.1875040625,False,REGULAR,USD
SPY260407P00540000,2026-04-07 13:56:49+00:00,540.0,0.01,0.0,0.01,0.0,0.0,1.0,577.0,1.125004375,False,REGULAR,USD
SPY260407P00545000,2026-04-02 17:51:25+00:00,545.0,0.02,0.0,0.01,0.0,0.0,3.0,846.0,1.0625046875000002,False,REGULAR,USD
SPY260407P00550000,2026-04-06 15:21:39+00:00,550.0,0.01,0.0,0.01,0.0,0.0,101.0,2031.0,1.0312548437500002,False,REGULAR,USD
SPY260407P00555000,2026-04-06 13:43:12+00:00,555.0,0.01,0.0,0.01,0.0,0.0,56.0,541.0,0.9687503125,False,REGULAR,USD
SPY260407P00560000,2026-04-02 19:59:56+00:00,560.0,0.03,0.0,0.01,0.0,0.0,53.0,499.0,0.937500625,False,REGULAR,USD
SPY260407P00565000,2026-04-07 16:06:05+00:00,565.0,0.01,0.0,0.01,0.0,0.0,401.0,1761.0,0.87500125,False,REGULAR,USD
SPY260407P00570000,2026-04-06 17:10:43+00:00,570.0,0.01,0.0,0.01,0.0,0.0,17.0,1701.0,0.8281267187499999,False,REGULAR,USD
SPY260407P00575000,2026-04-06 17:55:36+00:00,575.0,0.01,0.0,0.01,0.0,0.0,31.0,3423.0,0.7812521875,False,REGULAR,USD
SPY260407P00580000,2026-04-07 14:41:31+00:00,580.0,0.01,0.0,0.01,0.0,0.0,7.0,2910.0,0.73437765625,False,REGULAR,USD
SPY260407P00585000,2026-04-07 13:30:52+00:00,585.0,0.01,0.0,0.01,0.0,0.0,2.0,2350.0,0.6875031250000001,False,REGULAR,USD
SPY260407P00590000,2026-04-07 13:36:00+00:00,590.0,0.01,0.0,0.01,0.0,0.0,15.0,3885.0,0.64062859375,False,REGULAR,USD
SPY260407P00595000,2026-04-07 16:28:28+00:00,595.0,0.01,0.0,0.01,0.0,0.0,25.0,3091.0,0.5937540625000001,False,REGULAR,USD
SPY260407P00600000,2026-04-07 16:05:23+00:00,600.0,0.01,0.0,0.01,0.0,0.0,14.0,4796.0,0.5468795312500001,False,REGULAR,USD
