contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,IV_RV_spread,volume_spike,oi_spike,unusual
SPY260407P00625000,2026-04-07 18:00:01+00:00,625.0,0.01,0.0,0.01,-0.01,-50.0,1060.0,11227.0,0.3281317187499999,False,REGULAR,USD,0.14811716062375005,False,True,True
SPY260407P00629000,2026-04-07 18:07:52+00:00,629.0,0.01,0.01,0.02,-0.03,-75.0,4364.0,9546.0,0.3086006640625,False,REGULAR,USD,0.1285861059362501,False,True,True
SPY260407P00630000,2026-04-07 18:19:56+00:00,630.0,0.01,0.01,0.02,-0.04,-80.00001,3005.0,9474.0,0.2968820312499999,False,REGULAR,USD,0.11686747312375004,False,True,True
SPY260407P00640000,2026-04-07 18:18:28+00:00,640.0,0.02,0.02,0.03,-0.11,-84.61539,32896.0,9944.0,0.19727365234375,False,REGULAR,USD,0.01725909421750013,False,True,True
SPY260407P00642000,2026-04-07 18:17:08+00:00,642.0,0.02,0.02,0.03,-0.15,-88.2353,34726.0,10306.0,0.17383638671875,False,REGULAR,USD,-0.0061781714074998495,False,True,True
SPY260407P00650000,2026-04-07 18:20:04+00:00,650.0,0.06,0.06,0.07,-0.6,-90.909096,311760.0,9829.0,0.0898528515625,False,REGULAR,USD,-0.09016170656374986,True,True,True
SPY260407P00651000,2026-04-07 18:19:27+00:00,651.0,0.09,0.08,0.09,-0.66999996,-88.15788,232553.0,4102.0,0.0795990478515625,False,REGULAR,USD,-0.10041551027468737,True,False,True
SPY260407P00652000,2026-04-07 18:20:04+00:00,652.0,0.11,0.1,0.11,-0.78999996,-88.764046,333562.0,4727.0,0.0669038623046875,False,REGULAR,USD,-0.11311069582156236,True,False,True
SPY260407P00653000,2026-04-07 18:20:07+00:00,653.0,0.15,0.15,0.16,-0.93000007,-86.111115,351601.0,4681.0,0.0561617822265625,False,REGULAR,USD,-0.12385277589968736,True,False,True
SPY260407P00654000,2026-04-07 18:20:04+00:00,654.0,0.24,0.24,0.25,-1.0699999,-81.67939,337002.0,7538.0,0.0440769421386718,False,REGULAR,USD,-0.13593761598757806,True,False,True
SPY260407P00655000,2026-04-07 18:20:07+00:00,655.0,0.4,0.4,0.41,-1.13,-73.85621,319864.0,8781.0,0.0271093383789062,True,REGULAR,USD,-0.15290521974734367,True,True,True
SPY260407P00656000,2026-04-07 18:20:08+00:00,656.0,0.67,0.67,0.68,-1.1500001,-63.18681,246064.0,8246.0,1.0000000000000004e-05,True,REGULAR,USD,-0.18000455812624985,True,False,True
SPY260407P00658000,2026-04-07 18:20:04+00:00,658.0,1.76,1.75,1.77,-0.79999995,-31.372547,74319.0,15139.0,1.0000000000000004e-05,True,REGULAR,USD,-0.18000455812624985,False,True,True
